time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-05T07:36:02.875Z,-22.914,-175.9675,67.67,4.3,mb,,97,7.609,0.31,us,us6000gawn,2022-02-12T23:07:18.040Z,"204 km SSW of ‘Ohonua, Tonga",earthquake,9.8,9.9,0.122,22,reviewed,us,us
2021-12-05T07:45:05.159Z,-21.6612,-173.7688,10,5.3,mww,,45,8.445,0.7,us,us6000g97y,2022-02-12T23:06:00.040Z,"127 km ESE of ‘Ohonua, Tonga",earthquake,9.3,1.8,0.093,11,reviewed,us,us
2021-12-05T07:53:05.425Z,-31.3508,-177.294,10,4.4,mb,,195,2.151,0.45,us,us6000gawg,2022-02-12T23:07:17.040Z,"Kermadec Islands region",earthquake,7.1,2,0.202,8,reviewed,us,us
2021-12-05T09:24:25.856Z,-15.0842,-173.1111,10,5.1,mb,,64,1.738,0.78,us,us6000g98x,2022-02-12T23:06:01.040Z,"121 km NE of Hihifo, Tonga",earthquake,8.1,1.9,0.077,54,reviewed,us,us
2021-12-05T14:22:33.906Z,-14.0021,167.2643,196.78,4.5,mb,,121,1.437,0.6,us,us6000gax3,2022-02-12T23:07:19.040Z,"34 km WSW of Sola, Vanuatu",earthquake,9.9,5.2,0.113,26,reviewed,us,us
2021-12-05T14:24:15.268Z,-26.7312,-178.4376,356.66,4,mb,,99,2.562,1,us,us6000gax2,2022-02-12T23:07:19.040Z,"south of the Fiji Islands",earthquake,11.7,10.1,0.173,11,reviewed,us,us
2021-12-05T16:23:40.840Z,-22.2826,-176.1534,150.35,4.6,mb,,76,7.073,0.75,us,us6000gawx,2022-02-12T23:07:18.040Z,"157 km SW of Vaini, Tonga",earthquake,12.4,6.4,0.102,32,reviewed,us,us
2021-12-05T16:46:53.918Z,-26.0801,179.7204,501.2,4.3,mb,,140,8.438,0.74,us,us6000gawy,2022-02-12T23:07:18.040Z,"south of the Fiji Islands",earthquake,10.7,8.2,0.119,20,reviewed,us,us
2021-12-05T19:29:33.862Z,-15.4452,-172.8819,10,4.4,mb,,75,1.861,0.87,us,us6000gax1,2022-02-12T23:07:19.040Z,"113 km ENE of Hihifo, Tonga",earthquake,7.6,1.9,0.155,15,reviewed,us,us
2021-12-05T22:34:37.090Z,-11.5094,166.5319,57.36,4.5,mb,,143,3.968,0.27,us,us6000gax8,2022-02-12T23:07:20.040Z,"118 km SE of Lata, Solomon Islands",earthquake,10.4,6.9,0.145,14,reviewed,us,us
