datetime,TEMP,TEMP long_name,TEMP Unit,DOX1,DOX1 long_name,DOX1 Unit,PSAL,PSAL long_name,PSAL Unit,PHOS,PHOS long_name,PHOS Unit,PHOW,PHOW long_name,PHOW Unit,NTRA,NTRA long_name,NTRA Unit,DOXY,DOXY long_name,DOXY Unit,SLCA,SLCA long_name,SLCA Unit,CPHL,CPHL long_name,CPHL Unit,DOX2,DOX2 long_name,DOX2 Unit,SLCW,SLCW long_name,SLCW Unit,CHLT,CHLT long_name,CHLT Unit,FLU2,FLU2 long_name,FLU2 Unit,NTAW,NTAW long_name,NTAW Unit,NTRI,NTRI long_name,NTRI Unit,NTIW,NTIW long_name,NTIW Unit,NTRZ,NTRZ long_name,NTRZ Unit,AMON,AMON long_name,AMON Unit,NODW,NODW long_name,NODW Unit,PHPH,PHPH long_name,PHPH Unit,WSPD,WSPD long_name,WSPD Unit,WDIR,WDIR long_name,WDIR Unit,DRYT,DRYT long_name,DRYT Unit,PRRT,PRRT long_name,PRRT Unit,PRRD,PRRD long_name,PRRD Unit,platform_code,PRES,DEPTH,LONGITUDE,LATITUDE,dataset_id
2021-11-24 22:47:00,27.657,Sea temperature,degrees_C,,,,34.9285,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0073,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,3.0,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.652,Sea temperature,degrees_C,,,,34.9283,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0073,Chlorophyll-a,mg m-3,190.799,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,3.2,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.649,Sea temperature,degrees_C,,,,34.9282,Practical salinity,0.001,,,,,,,,,,,,,,,,0.0,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,3.3,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.644,Sea temperature,degrees_C,,,,34.928,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0073,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,3.5,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.642,Sea temperature,degrees_C,,,,34.928,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0073,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,3.6,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.64,Sea temperature,degrees_C,,,,34.928,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0073,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,3.7,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.638,Sea temperature,degrees_C,,,,34.928,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0219,Chlorophyll-a,mg m-3,190.504,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,3.8,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.636,Sea temperature,degrees_C,,,,34.928,Practical salinity,0.001,,,,,,,,,,,,,,,,0.0,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,3.9,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.632,Sea temperature,degrees_C,,,,34.928,Practical salinity,0.001,,,,,,,,,,,,,,,,-0.0219,Chlorophyll-a,mg m-3,,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,4.1,,-179.2634,-22.2277,16735
2021-11-24 22:47:00,27.63,Sea temperature,degrees_C,,,,34.928,Practical salinity,0.001,,,,,,,,,,,,,,,,0.0,Chlorophyll-a,mg m-3,190.858,Dissolved oxygen,µmol kg-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903025,4.2,,-179.2634,-22.2277,16735
